id,start_date,end_date,main_topic,organization,extra_info,info_link,code_link
4,3-2024,Hoje,*Pesquisa:* Aprendizagem de Máquina Informado por Física Aplicado à Modelagem de Loops de Circulação Natural em Reatores Nucleares Avançados.,LNCC e IEN,Descrição: Exploração da aplicação de modelos de aprendizagem de máquina informados por fisica (como Redes Neurais Informadas por Fisica e Operadores Neurais) para modelar os fenômenos de circulação natural usados como mecanismo passivo de segurança no desenho de reatores nucleares avançados.,,
3,2021,2023,*Pesquisa:* VISCACHA Survey.,VISCACHA Collaboration,"Descrição: Colaboração dedicada a fazer um survey fotométrico de aglomerados estelares das Nuvens de Magalhães. Onde atuei em diversas tarefas como observação, análise estatística e processamento de dados",http://www.astro.iag.usp.br/~viscacha/,
2,2018,2023,*Pesquisa:* Estrelas variáveis pulsantes como indicadores de distância de Aglomerados Estelares,"Laboratório de Astrofísica Teórica e Observacional, UESC","Descrição: Projeto de iniciação científica onde trabalhei com a obtenção e redução fotométrica de séries temporais de imagens de aglomerados de estrelas para a obtenção de curvas de luz, para fins de determinação de vinculos de distância (Supervisor: Dr. Leandro Kerber).",,
1,2016,2020,*Extensão:* Observatório Astronômico da UESC – Programa de Difusão da Astronomia,Observatório Astronômico da UESC,"Realização de Palestras, atendimento ao público em atividades de divulgação da Astronomia (Supervisor: Dr. Jules Soares)",,
