id,start_date,end_date,main_topic,organization,extra_info,info_link,code_link
3,06-2023,Hoje,Tutor de Python para aplicações científicas ,Freelance,,,
2,10-2018,12-2023,Estagio como Assistente de Pesquisa,Iniciação Científica – CNPq,Projeto: Busca e caracterização de estrelas variáveis em aglomerados estelares,,
1,4-2022,12-2022,Programador Backend Trainee,Tecno Jr,Empresa júnior de consultoria em software,,
