id,start_date,end_date,main_topic,organization,extra_info,info_link,code_link
3,06-2023,Hoje,Python tutor for scientific applications,Freelance,,,
2,10-2018,12-2023,Research Assistant Internship,Iniciação Científica – CNPq,Project: Search and characterization of variable stars in star clusters,,
1,4-2022,12-2022,Trainee Backend Programmer,Tecno Jr,Junior software consulting company,,
